,0
0,0.0034907
1,0.0034907
2,0.0034907
3,0.0034907
4,0.0034907
5,0.0034907
6,0.0034907
7,0.0034907
8,0.0034907
9,0.0034907
10,0.0034907
11,0.0034907
12,0.0034907
13,0.0034907
14,0.0034907
15,0.0034907
16,0.0034907
17,0.0034907
18,0.0034907
19,0.0034907
20,0.0034907
21,0.0034907
22,0.0034907
23,0.0034907
24,0.0034907
25,0.0034907
26,0.0034907
27,0.0034907
28,0.0034907
29,0.0034907
30,0.0034907
31,0.0034907
32,0.0034907
33,0.0034907
34,0.0034907
35,0.0034907
36,0.0034907
37,0.0034907
38,0.0034907
39,0.0034907
40,0.0034907
41,0.0034907
42,0.0034907
43,0.0034907
44,0.0034907
45,0.0034907
46,0.0034907
47,0.0034907
48,0.0034907
49,0.0034907
50,0.0034907
51,0.0034907
52,0.0034907
53,0.0034907
54,0.0034907
55,0.0034907
56,0.0034907
57,0.0034907
58,0.0034907
59,0.0034907
60,0.0034907
61,0.0034907
62,0.0034907
63,0.0034907
64,0.0034907
65,0.0034907
66,0.0034907
67,0.0034907
68,0.0034907
69,0.0034907
70,0.0034907
71,0.0034907
72,0.0034907
73,0.0034907
74,0.0034907
75,0.0034907
76,0.0034907
77,0.0034907
78,0.0034907
79,0.0034907
80,0.0034907
81,0.0034907
82,0.0034907
83,0.0034907
84,0.0034907
85,0.0034907
86,0.0034907
87,0.0034907
88,0.0034907
89,0.0034907
90,0.0034907
91,0.0034907
92,0.0034907
93,0.0034907
94,0.0034907
95,0.0034907
96,0.0034907
97,0.0034907
98,0.0034907
99,0.0034907
100,0.0034907
101,0.0034907
102,0.0034907
103,0.0034907
104,0.0034907
105,0.0034907
106,0.0034907
107,0.0034907
108,0.0034907
109,0.0034907
110,0.0034907
111,0.0034907
112,0.0034907
113,0.0034907
114,0.0034907
115,0.0034907
116,0.0034907
117,0.0034907
118,0.0034907
119,0.0034907
120,0.0034907
121,0.0034907
122,0.0034907
123,0.0034907
124,0.0034907
125,0.0034907
126,0.0034907
127,0.0034907
128,0.0034907
129,0.0034907
130,0.0034907
131,0.0034907
132,0.0034907
133,0.0034907
134,0.0034907
135,0.0034907
136,0.0034907
137,0.0034907
138,0.0034907
139,0.0034907
140,0.0034907
141,0.0034907
142,0.0034907
143,0.0034907
144,0.0034907
145,0.0034907
146,0.0034907
147,0.0034907
148,0.0034907
149,0.0034907
150,0.0034907
151,0.0034907
152,0.0034907
153,0.0034907
154,0.0034907
155,0.0034907
156,0.0034907
157,0.0034907
158,0.0034907
159,0.0034907
160,0.0034907
161,0.0034907
162,0.0034907
163,0.0034907
164,0.0034907
165,0.0034907
166,0.0034907
167,0.0034907
168,0.0034907
169,0.0034907
170,0.0034907
171,0.0034907
172,0.0034907
173,0.0034907
174,0.0034907
175,0.0034907
176,0.0034907
177,0.0034907
178,0.0034907
179,0.0034907
180,0.0034907
181,0.0034907
182,0.0034907
183,0.0034907
184,0.0034907
185,0.0034907
186,0.0034907
187,0.0034907
188,0.0034907
189,0.0034907
190,0.0034907
191,0.0034907
192,0.0034907
193,0.0034907
194,0.0034907
195,0.0034907
196,0.0034907
197,0.0034907
198,0.0034907
199,0.0034907
200,0.0034907
201,0.0034907
202,0.0034907
203,0.0034907
204,0.0034907
205,0.0034907
206,0.0034907
207,0.0034907
208,0.0034907
209,0.0034907
210,0.0034907
211,0.0034907
212,0.0034907
213,0.0034907
214,0.0034907
215,0.0034907
216,0.0034907
217,0.0034907
218,0.0034907
219,0.0034907
220,0.0034907
221,0.0034907
222,0.0034907
223,0.0034907
224,0.0034907
225,0.0034907
226,0.0034907
227,0.0034907
228,0.0034907
229,0.0034907
230,0.0034907
231,0.0034907
232,0.0034907
233,0.0034907
234,0.0034907
235,0.0034907
236,0.0034907
237,0.0034907
238,0.0034907
239,0.0034907
240,0.0034907
241,0.0034907
242,0.0034907
243,0.0034907
244,0.0034907
245,0.0034907
246,0.0034907
247,0.0034907
248,0.0034907
249,0.0034907
250,0.0034907
251,0.0034907
252,0.0034907
253,0.0034907
254,0.0034907
255,0.0034907
256,0.0034907
257,0.0034907
258,0.0034907
259,0.0034907
260,0.0034907
261,0.0034907
262,0.0034907
263,0.0034907
264,0.0034907
265,0.0034907
266,0.0034907
267,0.0034907
268,0.0034907
269,0.0034907
270,0.0034907
271,0.0034907
272,0.0034907
273,0.0034907
274,0.0034907
275,0.0034907
276,0.0034907
277,0.0034907
278,0.0034907
279,0.0034907
280,0.0034907
281,0.0034907
282,0.0034907
283,0.0034907
284,0.0034907
285,0.0034907
286,0.0034907
287,0.0034907
288,0.0034907
289,0.0034907
290,0.0034907
291,0.0034907
292,0.0034907
293,0.0034907
294,0.0034907
295,0.0034907
296,0.0034907
297,0.0034907
298,0.0034907
